1 3.66 4.58 5.26 6.62 6.52 5.27
2 3.75 4.73 5.35 6.72 6.73 5.55
5 4.18 5.06 6.1 7.17 6.97 6.14
10 4.87 5.77 6.95 7.64 7.63 7.07
20 6.05 7.0 8.74 8.79 8.92 8.78
50 9.68 10.56 13.96 12.19 12.51 14.08
100 15.74 16.47 23.02 18.16 18.48 22.89
200 28.44 29.2 40.65 30.73 30.98 40.99
500 67.65 67.59 95.12 67.67 67.22 95.05
1000 124.31 122.91 173.48 125.44 125.3 174.54
