awards/index   56.5 56.6
brands/show    97.0 97.6
actions/index  170.0 182.0
"" "" ""
stream/index    103 106.1
friends/create  49  61.3
posts/create    76  89.8
"" "" ""
topics/index    47.0 47.0
topics/create   105.0 119.0
posts/create    94.0 103.0
